Barrier,BI/X_ Atom Number,BI/X_Mendeleev Number,BI/X_Melting T,BI/X_Covalent Radius,BII/X_Atom Number,BII/X_Mendeleev Number,BII/X_Electronegativity,BII/X_N Valence
1.141,-0.244329384,-0.854511337,0.99286665,1.210180026,0.872115003,0.816601711,-0.647892026,1.131594787
1.223,-0.244329384,-0.854511337,0.99286665,1.210180026,0.673566022,-0.348364622,-1.178744882,0.165521027
1.249,-0.244329384,-0.854511337,0.99286665,1.210180026,0.808483448,0.368103528,-0.766704008,0.823556128
1.238,-0.244329384,-0.854511337,0.99286665,1.210180026,0.742363644,-0.017665722,-1.452317535,0.502101349
1.156,-0.244329384,-0.854511337,0.99286665,1.210180026,1.614190413,-0.243811215,-0.001250111,0.165521027
1.415,-0.244329384,-0.854511337,0.99286665,1.210180026,1.573982285,-0.541656866,-1.327267059,-0.188280752
0.755,-0.244329384,-0.854511337,0.99286665,1.210180026,0.933428803,1.33635165,-0.577106404,1.427632554
0.572,-0.244329384,-0.854511337,0.99286665,1.210180026,1.765569812,1.527042353,0.088654973,1.427632554
1.469,-0.244329384,-0.854511337,0.99286665,1.210180026,1.729059097,0.981487616,0.266701141,1.131594787
1.259,-0.244329384,-0.854511337,0.99286665,1.210180026,1.69168552,0.510230662,0.088654973,0.823556128
1.777,-0.244329384,-0.854511337,0.99286665,1.210180026,0.448858962,-1.927534372,-1.9385992,-0.958727092
1.648,-0.244329384,-0.854511337,0.99286665,1.210180026,0.527065584,-0.871287038,-1.477469841,-0.561919318
1.682,-0.244329384,-0.854511337,0.99286665,1.210180026,1.490404855,-1.917522509,-2.308784544,-0.958727092
0.736,-0.991945455,-0.856077117,-0.44610334,-0.261220351,-0.191169187,0.71883027,0.459571563,1.131594787
0.832,-0.991945455,-0.856077117,-0.44610334,-0.261220351,-0.383327955,-0.400729389,-0.158299429,0.165521027
0.816,-0.991945455,-0.856077117,-0.44610334,-0.261220351,-0.252994937,0.288191955,0.321587871,0.823556128
0.841,-0.991945455,-0.856077117,-0.44610334,-0.261220351,-0.31699823,-0.082572711,-0.478125823,0.502101349
1.047,-0.991945455,-0.856077117,-0.44610334,-0.261220351,0.544963605,-0.300105466,1.207635462,0.165521027
0.996,-0.991945455,-0.856077117,-0.44610334,-0.261220351,0.50442866,-0.586854793,-0.331810134,-0.188280752
0.488,-0.991945455,-0.856077117,-0.44610334,-0.261220351,-0.131385672,1.21742232,0.541698088,1.427632554
0.554,-0.991945455,-0.856077117,-0.44610334,-0.261220351,0.698166068,1.400243179,1.311264979,1.427632554
1.005,-0.991945455,-0.856077117,-0.44610334,-0.261220351,0.661131732,0.877053375,1.516229814,1.131594787
1.063,-0.991945455,-0.856077117,-0.44610334,-0.261220351,0.623276833,0.424703836,1.311264979,0.823556128
0.809,-0.991945455,-0.856077117,-0.44610334,-0.261220351,-0.598009844,-1.928658472,-1.049131224,-0.958727092
0.846,-0.991945455,-0.856077117,-0.44610334,-0.261220351,-0.523641689,-0.904605491,-0.507580617,-0.561919318
0.862,-0.991945455,-0.856077117,-0.44610334,-0.261220351,-0.452148453,-0.672796056,-0.244776349,-0.188280752
1.176,-0.991945455,-0.856077117,-0.44610334,-0.261220351,0.42039119,-1.918841935,-1.486077164,-0.958727092
0.682,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-1.317808209,0.625959353,0.803994066,-0.676050271
0.661,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-1.486346652,-0.450616108,0.160213442,-1.179615043
0.733,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-1.372387349,0.212214466,0.660315663,-0.839380404
0.742,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-1.42853773,-0.144344786,-0.173451347,-1.007122595
0.971,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-0.64410342,-0.35371713,1.582060978,-1.179615043
0.952,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-0.682270759,-0.629944374,-0.02076758,-1.357240364
0.506,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-1.26471959,1.104555541,0.889485704,-0.516831588
0.618,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-0.498816503,1.279942814,1.689735087,-0.516831588
0.899,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-0.534084704,0.777883787,1.902622568,-0.676050271
0.973,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-0.570038041,0.343413341,1.689735087,-0.839380404
0.734,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-1.670712492,-1.929749515,-0.769929805,-1.729695637
0.75,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-1.607326727,-0.93641698,-0.204195795,-1.540434136
0.792,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-1.545908733,-0.712791718,0.070024288,-1.357240364
0.974,-1.651202331,-0.85761111,-1.238456188,-0.851956105,-0.761025079,-1.920121686,-1.227066505,-1.729695637
1.425,0.469062226,-0.7822646,0.89809701,1.556742047,0.872115003,0.816601711,-0.647892026,1.131594787
1.361,0.469062226,-0.7822646,0.89809701,1.556742047,0.673566022,-0.348364622,-1.178744882,0.165521027
1.465,0.469062226,-0.7822646,0.89809701,1.556742047,0.808483448,0.368103528,-0.766704008,0.823556128
1.423,0.469062226,-0.7822646,0.89809701,1.556742047,0.742363644,-0.017665722,-1.452317535,0.502101349
1.012,0.469062226,-0.7822646,0.89809701,1.556742047,0.933428803,1.33635165,-0.577106404,1.427632554
0.63,0.469062226,-0.7822646,0.89809701,1.556742047,1.765569812,1.527042353,0.088654973,1.427632554
1.606,0.469062226,-0.7822646,0.89809701,1.556742047,1.729059097,0.981487616,0.266701141,1.131594787
1.222,0.469062226,-0.7822646,0.89809701,1.556742047,1.69168552,0.510230662,0.088654973,0.823556128
